client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
angular-mocks,1.5.0-rc.0,1.5.0-rc.1,63,94,7439,3591,11030,227,FALSE
angular-mocks,1.5.0-rc.1,1.5.0-rc.2,64,61,3777,1638,5415,799,FALSE
angular-mocks,1.5.0-rc.2,1.5.0,65,32,1644,618,2262,48,FALSE
angular-mocks,1.5.0,1.5.1,66,100,12516,13406,25922,256,FALSE
angular-mocks,1.5.1,1.5.2,67,18,335,112,447,47,FALSE
angular-mocks,1.5.2,1.5.3,68,22,1421,533,1954,74,FALSE
angular-mocks,1.5.3,1.5.5,69,77,108456,8701,117157,257,FALSE
angular-mocks,1.5.5,1.5.6,70,103,32938,17423,50361,688,FALSE
angular-mocks,1.5.6,1.5.7,71,70,8974,6354,15328,112,FALSE
angular-mocks,1.5.7,1.5.8,72,85,9208,6676,15884,207,FALSE
angular-mocks,1.5.8,1.5.9,73,261,41999,30338,72337,1218,FALSE
angular-mocks,1.5.9,1.5.10,74,63,10646,27961,38607,162,FALSE
angular-mocks,1.5.10,1.5.11,75,33,1676,679,2355,67,FALSE
angular-mocks,1.6.0-rc.0,1.6.0-rc.1,77,56,7272,3792,11064,205,FALSE
angular-mocks,1.6.0-rc.1,1.6.0-rc.2,78,15,1520,1128,2648,43,FALSE
angular-mocks,1.6.0-rc.2,1.6.0,79,38,8867,27083,35950,129,FALSE
angular-mocks,1.6.0,1.6.1,80,33,2136,1031,3167,46,FALSE
angular-mocks,1.6.1,1.6.2,81,62,3555,2033,5588,313,FALSE
angular-mocks,1.6.2,1.6.3,82,40,1603,838,2441,95,FALSE
angular-mocks,1.6.3,1.6.4,83,41,6567,7520,14087,74,FALSE
angular-route,1.2.17-build.163.1,1.2.27,1,1327,136946,34542,171488,5423,FALSE
angular-route,1.2.27,1.2.28,2,155,9891,5783,15674,505,FALSE
angular-route,1.2.28,1.2.29,3,865,87771,42354,130125,3596,FALSE
angular-route,1.2.29,1.2.30,4,838,211864,61748,273612,3704,FALSE
angular-route,1.2.30,1.2.31,5,156,29113,24836,53949,903,FALSE
angular-route,1.2.31,1.2.32,6,2,44,37,81,6,TRUE
angular-route,1.3.0-rc.5,1.3.0,8,69,2762,717,3479,138,FALSE
angular-route,1.3.0,1.3.1,9,112,5523,4698,10221,1943,FALSE
angular-route,1.3.1,1.3.2,10,32,1013,160,1173,52,FALSE
angular-route,1.3.2,1.3.3,11,51,1815,800,2615,125,FALSE
angular-route,1.3.3,1.3.4-build.3588,12,14,336,61,397,18,FALSE
angular-route,1.3.4-build.3588,1.3.4,13,36,7044,4546,11590,316,FALSE
angular-route,1.3.4,1.3.5,14,29,444,146,590,39,FALSE
angular-route,1.3.5,1.3.6,15,53,1859,946,2805,97,FALSE
angular-route,1.3.6,1.3.7,16,37,523,146,669,53,FALSE
angular-route,1.3.7,1.3.8,17,26,281,118,399,30,FALSE
angular-route,1.3.8,1.3.9,18,69,11342,10014,21356,125,FALSE
angular-route,1.3.9,1.3.10,19,30,405,102,507,41,FALSE
angular-route,1.3.10,1.3.11,20,22,484,253,737,40,FALSE
angular-route,1.3.11,1.3.12,21,45,4716,1099,5815,119,FALSE
angular-route,1.3.12,1.3.13,22,11,309,29,338,19,FALSE
angular-route,1.3.13,1.3.14,23,51,15972,3957,19929,74,FALSE
angular-route,1.3.14,1.3.15,24,82,14992,3046,18038,1617,FALSE
angular-route,1.3.15,1.3.16,25,208,23892,13853,37745,436,FALSE
angular-route,1.3.16,1.3.17,26,66,2380,1433,3813,104,FALSE
angular-route,1.3.17,1.3.18,27,109,6276,5861,12137,694,FALSE
